name,description,steps,equipment
Incline Dumbbell Curls,Targets the long head of the biceps for peak development. Helps improve arm symmetry and strength.,Sit on incline bench\nCurl dumbbells upward\nLower slowly,Dumbbells
Drag Curl,Focuses on biceps with minimal shoulder involvement. Great for strict form and isolation.,Keep bar close to body\nPull elbows back\nCurl upward,Barbell
Narrow Grip Barbell Curl,Emphasizes the outer biceps head. Builds thickness and definition.,Grip bar narrow\nCurl up slowly\nControl the descent,Barbell
Wide Grip Barbell Curl,Targets inner biceps for fuller look. Improves arm width.,Grip wider than shoulders\nCurl bar up\nLower with control,Barbell
Preacher Curls,Strict isolation exercise reducing momentum. Excellent for peak contraction.,Place arms on pad\nCurl up\nLower fully,EZ Bar / Machine
Concentration Curl,Highly focused curl for peak biceps contraction. Great for mind-muscle connection.,Sit and rest elbow on thigh\nCurl dumbbell\nLower slowly,Dumbbell
Hammer Curls,Targets brachialis and forearms. Adds arm thickness.,Hold neutral grip\nCurl upward\nLower controlled,Dumbbells
Cross Body Hammer Curls,Variation focusing on brachialis. Improves arm density.,Curl across body\nSqueeze at top\nLower slowly,Dumbbell
Rope Hammer Curls,Works brachialis with cable tension. Maintains constant resistance.,Use rope attachment\nCurl upward\nControl release,Cable Machine
Dumbbell Curls,Classic biceps builder. Helps develop size and strength.,Curl both arms\nSqueeze at top\nLower slowly,Dumbbells
Overhead Dumbbell Extension,Targets triceps long head. Builds arm size.,Hold dumbbell overhead\nLower behind head\nExtend up,Dumbbell
Skull Crushers,Effective triceps isolation movement. Builds strength and mass.,Lower bar to forehead\nExtend arms\nKeep elbows fixed,EZ Bar
Dips (Weighted),Compound triceps movement. Adds strength and size.,Lower body down\nPush up\nKeep torso upright,Parallel Bars + Weight
Cable Rope Pushdowns,Targets lateral head of triceps. Great for definition.,Push rope down\nSpread at bottom\nReturn slowly,Cable Machine
JM Press,Hybrid press for triceps. Combines bench press and skull crusher.,Lower bar toward chest\nPress up\nKeep elbows tight,Barbell
Reverse Grip Cable Pushdowns,Targets medial head of triceps. Improves arm detail.,Use reverse grip\nPush down\nControl upward,Cable Machine
Diamond Pushups,Bodyweight triceps builder. Engages chest and core.,Hands close together\nLower body\nPush up,Bodyweight
Reverse Grip Bench Press,Focuses on triceps. Reduces chest involvement.,Grip bar reverse\nLower to chest\nPress up,Barbell
Barbell Overhead Press,Builds shoulder strength. Targets front delts.,Press bar overhead\nLockout\nLower slowly,Barbell
Dumbbell Shoulder Press,Improves shoulder stability. Builds strength evenly.,Press dumbbells up\nLower controlled\nKeep core tight,Dumbbells
Front Raise,Isolates front delts. Enhances shoulder definition.,Raise weight forward\nPause\nLower slowly,Dumbbell / Plate
Machine Shoulder Press,Controlled shoulder press. Good for beginners.,Push handles up\nPause\nLower slowly,Machine
Dumbbell Lateral Raise,Targets side delts. Builds shoulder width.,Lift arms sideways\nPause\nLower controlled,Dumbbells
Cable Lateral Raise (Leaning),Maintains tension throughout movement. Improves isolation.,Lean slightly\nRaise arm\nLower slowly,Cable Machine
Upright Row,Targets traps and side delts. Builds upper body strength.,Pull bar upward\nKeep elbows high\nLower slowly,Barbell
Reverse Pec Deck,Isolates rear delts. Improves posture.,Pull handles back\nSqueeze shoulder blades\nReturn slowly,Machine
Face Pulls,Strengthens rear delts and traps. Improves shoulder health.,Pull rope to face\nSqueeze\nRelease slowly,Cable Machine
Bent Over Lateral Raise,Targets rear delts. Enhances shoulder balance.,Bend forward\nRaise arms\nLower slowly,Dumbbells
Incline Dumbbell Press,Targets upper chest. Builds mass and strength.,Press dumbbells up\nLower to chest\nRepeat,Dumbbells
Incline Barbell Press,Develops upper chest. Improves pressing strength.,Lower bar\nPress up\nControl movement,Barbell
Low to High Cable Fly,Isolates upper chest. Improves definition.,Pull cables upward\nSqueeze\nReturn slowly,Cable Machine
Flat Barbell Bench Press,Classic chest builder. Builds strength and size.,Lower bar\nPress up\nRepeat,Barbell
Flat Dumbbell Press,Improves chest symmetry. Allows full range.,Press dumbbells\nLower controlled\nRepeat,Dumbbells
Pushups,Bodyweight chest exercise. Improves endurance.,Lower body\nPush up\nKeep core tight,Bodyweight
Machine Chest Press,Controlled chest movement. Good for beginners.,Push handles\nPause\nReturn slowly,Machine
Chest Dips,Targets lower chest. Builds strength.,Lean forward\nLower body\nPush up,Parallel Bars
Decline Bench Press,Focuses on lower chest. Builds mass.,Lower bar\nPress up\nRepeat,Barbell
High to Low Cable Fly,Targets lower chest. Improves definition.,Pull cables downward\nSqueeze\nReturn,Cable Machine
Cable Seated Chest Press,Controlled chest press. Good for isolation.,Push handles\nPause\nReturn,Cable Machine
Pull-Ups,Targets lats. Builds upper body strength.,Pull body up\nChin above bar\nLower slowly,Pull-up Bar
Lat Pulldown,Alternative to pull-ups. Builds lat width.,Pull bar down\nSqueeze\nRelease slowly,Machine
Close-Grip Pulldown,Focuses inner lats. Improves thickness.,Pull bar down\nKeep elbows close\nReturn,Machine
Single-Arm Lat Pulldown,Improves unilateral strength. Targets lats.,Pull one side\nControl\nSwitch arms,Machine
Barbell Row,Builds back thickness. Engages multiple muscles.,Pull bar to torso\nLower slowly\nRepeat,Barbell
Machine T-Bar Row,Targets upper back. Builds strength.,Pull handle\nSqueeze\nLower,Machine
Seated Cable Row,Targets mid back. Improves posture.,Pull handle\nSqueeze\nReturn,Cable Machine
Face Pull,Strengthens upper back. Improves stability.,Pull rope to face\nSqueeze\nRelease,Cable Machine
One Arm Dumbbell Row,Targets mid back. Improves balance.,Row dumbbell\nLower slowly\nRepeat,Dumbbell
Close Grip Cable Row,Targets inner back. Improves thickness.,Pull handle\nSqueeze\nReturn,Cable Machine
Machine Row,Controlled back exercise. Builds strength.,Pull handles\nPause\nReturn,Machine
Deadlift,Full body compound movement. Builds strength.,Lift bar from floor\nStand upright\nLower safely,Barbell
Hyperextensions,Strengthens lower back. Improves posture.,Lower torso\nRaise up\nRepeat,Bodyweight / Machine
Crunches,Targets upper abs. Builds core strength.,Lift shoulders\nPause\nLower,Bodyweight
Cable Crunch,Weighted ab exercise. Improves strength.,Crunch down\nSqueeze\nReturn,Cable Machine
Decline Crunch,Increases difficulty. Targets upper abs.,Crunch upward\nPause\nLower,Bench
Machine Crunch,Controlled ab movement. Good for beginners.,Crunch forward\nPause\nReturn,Machine
